X.SampleID	i.TwinID
High1.1	NA21082
High1.17	NA24002
High1.26	NA1172
High1.28	NA50651
High1.31	NA32331
High1.44	NA21501
High1.45	NA99202
High1.47	NA82302
High1.51	NA30722
High1.55	NA52072
High1.59	NA80372
High1.60	NA50652
High1.64	NA56061
High1.65	NA64731
High1.67	NA1171
High1.76	NA32031
High1.81	NA71382
High2.13	NA75482
High2.14	NA4482
High2.23	NA92012
High2.27	NA4481
High2.33	NA95312
High2.41	NA54221
High2.46	NA50861
High2.50	NA30221
High2.65	NA51871
High2.78	NA92011
High2.83	NA55472
High2.85	NA1831
High2.94	NA32362
Low1.12	NA19731
Low1.15	NA55892
Low1.2	NA32152
Low1.24	NA22741
Low1.29	NA51541
Low1.4	NA19732
Low1.42	NA32032
Low1.55	NA55581
Low1.61	NA32301
Low1.74	NA33272
Low1.83	NA52342
Low1.87	NA9722
Low1.88	NA86382
Low1.9	NA32151
Low2.12	NA74932
Low2.16	NA4631
Low2.17	NA77461
Low2.2	NA55902
Low2.20	NA55582
Low2.23	NA91301
Low2.25	NA4462
Low2.29	NA30801
Low2.32	NA19621
Low2.33	NA52091
Low2.35	NA23382
Low2.37	NA52902
Low2.46	NA2622
Low2.47	NA30522
Low2.48	NA26901
Low2.49	NA55891
Low2.5	NA52142
Low2.57	NA54212
Low2.58	NA50802
Low2.59	NA88362
Low2.60	NA50801
Low2.64	NA88361
Low2.66	NA51542
Low2.7	NA30521
Low2.76	NA52772
Low2.79	NA53871
Low2.8	NA1791
Low2.82	NA60562
Plate10.24	NA26882
Plate10.28	NA60811
Plate10.3	NA26881
Plate10.32	NA23381
Plate10.33	NA75481
Plate10.4	NA56081
Plate10.42	NA9732
Plate10.45	NA59452
Plate10.5	NA30222
Plate10.50	NA22992
Plate10.60	NA65861
Plate10.64	NA24001
Plate10.65	NA98832
Plate10.67	NA70821
Plate10.68	NA91391
Plate10.75	NA26902
Plate10.80	NA73651
Plate10.89	NA56082
Plate11.1	NA33761
Plate11.15	NA50712
Plate11.17	NA55471
Plate11.18	NA33251
Plate11.34	NA58461
Plate11.36	NA55331
Plate11.6	NA73652
Plate11.61	NA65862
Plate11.67	NA33252
Plate11.86	NA32361
Plate11.87	NA54222
Plate12.11	NA91822
Plate12.12	NA57102
Plate12.19	NA30822
Plate12.21	NA92451
Plate12.24	NA91821
Plate12.31	NA33061
Plate12.32	NA15852
Plate12.33	NA6551
Plate12.34	NA58462
Plate12.37	NA94242
Plate12.40	NA98452
Plate12.42	NA2271
Plate12.45	NA91372
Plate12.59	NA98812
Plate12.6	NA50711
Plate12.65	NA7002
Plate12.67	NA55021
Plate12.73	NA59072
Plate12.74	NA57112
Plate12.81	NA50862
Plate12.84	NA15851
Plate12.88	NA32862
Plate12.9	NA32771
Plate13.10	A1442
Plate13.11	A1441
Plate13.13	A3132
